Bezirk,ohne Schulabschluss,mit Schulabschluss,Haupt-/Volksschule,Anteil Haupt-/Volksschule,POS,Realschule oder gleichwertig,Anteil Realschule,(Fach) Hochschulreife,Anteil (Fach)Hochschulreife,ohne Berufsabschluss ins.,ohne Abschluss in Ausbildung,ohne Abschluss nicht in Ausbildung,mit Berufsabschluss,Lehre/Berufsausbildung,Anteil Lehre,Fachschule,Anteil Fachschule,Fachschule DDR,akademische Abschlüsse,Anteil akademische Abschlüsse,Bevölkerung mit niedrigem Bildungsstand
Mitte,20200,297700,27200,"9,1","8.400 (2,8%)",43600,"14,6",218400,"73,4",94300,30200,64100,232400,60900,"26,2",19200,"8,3",/,150900,"64,9","14,3"
Friedrichshain-Kreuzberg,13600,218900,15600,"7,1","6.600 (3,0%)",26300,12,170400,"77,8",64900,22200,42700,175000,34500,"19,7",12500,"7,1",/,125900,"71,9","13,3"
Pankow,/,313300,15000,"4,8","41.800 (13,3%)",36500,"11,7",220100,"70,3",64100,30500,33600,266800,78600,"29,5",25200,"9,4","11.800 (4,4%)",151200,"56,7","6,5"
Charlottenburg-Wilmersdorf,/,264600,24700,"9,3",/,52900,20,182200,"68,9",54600,16700,37900,226800,79400,35,17000,"7,5",/,129700,"57,2","9,4"
Spandau,/,191200,41600,"21,8","9.200 (4,8%)",59700,"31,2",80700,"42,2",61200,11800,49400,147500,82600,56,15800,"10,7",/,48100,"32,6","20,6"
Steglitz-Zehlendorf,/,236700,22500,"9,5",/,54600,"23,1",154400,"65,2",67700,33800,33900,186700,77000,"41,2",13200,"7,1",/,95400,"51,1","10,2"
Tempelhof-Schöneberg,16500,262800,35500,"13,5",/,67600,"25,7",154300,"58,7",82200,26000,56200,206500,94400,"45,7",17000,"8,2",/,94400,"45,7","16,1"
Neukölln,26700,236100,48600,"20,6","7.800 (3,3%)",61600,"26,1",118100,50,103000,24400,78600,169500,85500,"50,4",15300,9,/,68100,"40,2","25,1"
Treptow-Köpenick,/,220400,17300,"7,8","45.800 (20,8%)",37500,17,119800,"54,4",46400,18200,28200,188600,82600,"43,8",18100,"9,6","12.500 (6,6%)",75400,40,"9,6"
Marzahn-Hellersdorf,/,215600,26700,"12,4","67.600 (31,4%)",47300,"21,9",74000,"34,3",57900,14600,43300,174500,107100,"61,4",15200,"8,7","14.700 (8,4%)",37500,"21,5","15,5"
Lichtenberg,/,231400,17300,"7,5","57.600 (24,9%)",46600,"20,1",109800,"47,5",59900,18900,41000,190000,94800,"49,9",12100,"6,4","11.200 (5,9%)",72000,"37,9","13,7"
Reinickendorf,16300,195800,37200,19,/,61000,"31,2",91200,"46,6",70400,19200,51200,152100,86900,"57,1",13600,"6,1",/,50400,"33,1","19,6"
